Nome,Link
(IO) com R Formatos diferentes de entrada e saída,https://drive.google.com/file/d/1X4_LBrS9dfsTTfUDaFgMLOrQWd8SThcv/view?usp=sharing
.Net e MongoDB parte 1 Primeiros passos para usar esse famoso banco NoSQL,https://drive.google.com/file/d/1dVsHawql0YP_zr4cv0a5ihfe1d6ma7-9/view?usp=sharing
.Net e MongoDB parte 2 Integre uma webapp com o banco NoSQL,https://drive.google.com/file/d/1u2QY-3y5DI54oXdzPNI_xuB-tTR0hyXZ/view?usp=sharing
A Empresa Ágil Introduzindo o Business Agility nas organizações,https://drive.google.com/file/d/1jv5PjfxDOgxphIqF5yWdIRxKqnlVSnZT/view?usp=sharing
ABAP parte 1 introdução a linguagem criando relatórios,https://drive.google.com/file/d/1w411hPmBRlPqPgakLPYFEkhhFFOSOxgo/view?usp=sharing
ABAP parte 2 Construindo relatórios ALV no SAP,https://drive.google.com/file/d/1picAdY7IJU2GJvihJtRF24F5hgqkgC18/view?usp=sharing
ABAP parte 3 Persistindo dados,https://drive.google.com/file/d/1fuq1qh0NCgLL5tUgb1eF-K54m2uwWU32/view?usp=sharing
"Access: inicie suas consultas com agrupamento, classificação e mais",https://drive.google.com/file/d/1xudJyHJgSHBlXQ9m9SmLph5ny7TFoNCq/view?usp=sharing
Acessibilidade web introdução a designs inclusivos,https://drive.google.com/file/d/1bSUxgH1lA_IRSLL39EYf1b6RVAsSkfjr/view?usp=sharing
Acessibilidade web parte 1 tornando seu front-end inclusivo,https://drive.google.com/file/d/1DzCZAndXsOZs_aPnWvtUJR-PZ3Qktek-/view?usp=sharing
Acessibilidade web parte 2: Componentes acessíveis com um pouco de JavaScript,https://drive.google.com/file/d/1OsbkRVIsovW0ZudrS-4RxZUIMNK1ajVT/view?usp=sharing
Administração do MySQL Segurança e otimização do banco,https://drive.google.com/file/d/1pvWFuz5qsUNYy4Hsow7-ZZc-ir9Y3U1V/view?usp=sharing
Administração do Oracle Database Criação e gerenciamento do banco,https://drive.google.com/file/d/1ygCuRSj7kT9GfSAvBCPeJa0wOmYZek1C/view?usp=sharing
Administração do Oracle Database Segurança e otimização do banco,https://drive.google.com/file/d/1SooSIZqNIlgWScFp2MxSCYdvpRF_N842/view?usp=sharing
Adobe After Effects Desenvolvendo uma peça para o Instagram,https://drive.google.com/file/d/1SnOqqTd0ameLsbWJqMAQZygl97FLC3-r/view?usp=sharing
Adobe After Effects: Animando a partir do Element 3D,https://drive.google.com/file/d/11ibKPwDxq4wwTAbQsiEuXRmIKJmycRQ5/view?usp=sharing
Adobe After Effects: Construção do personagem no Photoshop,https://drive.google.com/file/d/1L5Rbr_u0j8JVt-tvrqGG8483QKfOBWIP/view?usp=sharing
Adobe Fresco Pintura digital mobile,https://drive.google.com/file/d/1sALXLjk76eSlhSWcP4Ja0phROKZP12hV/view?usp=sharing
Adobe Illustrator Introdução a desenho vetorial,https://drive.google.com/file/d/1qnQ2FTSfT-ACp824DB8l7Wl84jj2CX3D/view?usp=sharing
Adobe Illustrator Trabalhando a partir do gradiente,https://drive.google.com/file/d/15UpjoaaNrellPliEa7IvnJOrrYYN7z3F/view?usp=sharing
Adobe Illustrator Trabalhando com edição tipográfica,https://drive.google.com/file/d/15cGvFkWdcoiKSibylgrLgTZoJ3uctwBA/view?usp=sharing
Adobe Illustrator Vetorizando a partir da pen tool,https://drive.google.com/file/d/1aonNtqbjp8--ghSG3C8NCw0ogc1FzTOH/view?usp=sharing
Adobe Illustrator: Trabalhando a partir do gradiente,https://drive.google.com/file/d/15UpjoaaNrellPliEa7IvnJOrrYYN7z3F/view?usp=sharing
Adobe Indesign Introdução a diagramação,https://drive.google.com/file/d/1Kx6n9pEP793B7j_Lr-D2JKXQgNtqVi6Z/view?usp=sharing
Adobe InDesign Trabalhando na diagramação de um eBook,https://drive.google.com/file/d/1-ryY7bOPkF_GrjOk4UkEaZ0Nz2SxcRn-/view?usp=sharing
Adobe Lightroom Lidando com aplicações profissionais,https://drive.google.com/file/d/1i_CWpCBnQHZiPNKhlWE2SvL0Hhuy6OTN/view?usp=sharing
Adobe Photoshop Cor e Narrativa em uma HQ,https://drive.google.com/file/d/190s1LJMkl0dBbuy5WKZ3Dp783MrCIkh8/view?usp=sharing
Adobe Photoshop e Adobe After Effects: Trabalhando com vídeo composite no vfx,https://drive.google.com/file/d/1qVC0AZ2EByThZN1DXDzEwTYZhYPL2Ghw/view?usp=sharing
Adobe Photoshop e Adobe Illustrator: Composição para impressão,https://drive.google.com/file/d/14Mej_BS67mRuFw9cYJvTk-H1oXrdhKxP/view?usp=sharing
Adobe Photoshop e Illustrator Desenvolvendo layout para Motion Design,https://drive.google.com/file/d/1zfMWamyEyDoFAEokGdsqZO-Fj5Y6Hf82/view?usp=sharing
Adobe Photoshop e Illustrator Do vetor à composição,https://drive.google.com/file/d/1Ae3Rf6VjmxQCfaHJMkTKmRp0asTU4wai/view?usp=sharing
Adobe Photoshop e Illustrator: Práticas de edição gráfica para mídias sociais,https://drive.google.com/file/d/1VXZquMVeN1AzR_AqCZN82jZQ6c8QZrl8/view?usp=sharing
Adobe Photoshop Tons de pele e correções,https://drive.google.com/file/d/124zRvJfGeCGQeDrmFH-p9uIG5hjPLy7H/view?usp=sharing
Adobe Photoshop Tratando imagens com técnicas refinadas,https://drive.google.com/file/d/1YPtyVt9yKJgZMcS4MnlvUF6MiE8qEW7v/view?usp=sharing
Adobe Photoshop: Compondo peça publicitária,https://drive.google.com/file/d/1am1RMWQ68KqofpN7MgjQFUhgsBmjOGX_/view?usp=sharing
Adobe Photoshop: Composição com mesclagem de imagens,https://drive.google.com/file/d/10TihDr__PWEcT9jUKZX3_KK3YEmHVVzI/view?usp=sharing
Adobe Photoshop: Iluminação dentro de uma HQ,https://drive.google.com/file/d/19mjDMO-K4zsxBHwbtVt52pCla6clpweh/view?usp=sharing
Adobe Photoshop: Lidando com imperfeições de pele,https://drive.google.com/file/d/1DsS95ktUGiMfiCbwbCiS2HS3YuwjkxA9/view?usp=sharing
Adobe Photoshop: Processo de colorização para HQ's,https://drive.google.com/file/d/1RUmoJRm2vuuRwDT4kvT0un7PPUgfmX3l/view?usp=sharing
Adobe Photoshop: Tratamento de imagem,https://drive.google.com/file/d/1SD6bilQbxkIk-mLiiwhq0SJ0GMyaFWE4/view?usp=sharing
Adobe Photoshop: Tratando imagem com viés publicitário,https://drive.google.com/file/d/1CvxFBoXNWluTJkwribnv3F4VHtZ6eEbM/view?usp=sharing
Adobe Premiere 2020 Introdução à edição de vídeo,https://drive.google.com/file/d/1TqmUwkMqk7LyzC1qidBdc3qNxd3zNzBl/view?usp=sharing
Adobe Premiere Rush: Edite seus vídeos direto do seu smartphone,https://drive.google.com/file/d/1V0vNRJ_19rHzjS5YytmcqrmJS-J1mFkx/view?usp=sharing
Adobe Premiere: Criação de vídeo institucional,https://drive.google.com/file/d/1Q6zeqoq358axFbRON-_DxYiJ_nBL1IoN/view?usp=sharing
Adobe Premiere: Introdução à edição de vídeo,https://drive.google.com/file/d/1m-BnUvQRXLxuVglOPZ9JbUtUwFL40qFU/view?usp=sharing
Adobe XD: Componentes da interface,https://drive.google.com/file/d/1hTEyIizUbXwi6iaj9-Gnz7pTiwcCVqI1/view?usp=sharing
Adobe XD: Design visual de um site mobile,https://drive.google.com/file/d/1zdEDba9BGldN1TuyqgBZZTMbZlWRxwgH/view?usp=sharing
Adobe XD: refinando o visual da interface,https://drive.google.com/file/d/1oiAIdhUOtgg7M5wDUd35KFGym1pq3I5t/view?usp=sharing
Adobe XD: trabalhando com microinterações,https://drive.google.com/file/d/12gJDkZeV3xrnqtTRFWU_EDP4CQGD53e9/view?usp=sharing
Advergame: da ideia à prancha conceito,https://drive.google.com/file/d/1Jk8noR2j5uqVAR7sQ68CYpSqp7C-xHH0/view?usp=sharing
Affinity Design Introdução ao desenho vetorial,https://drive.google.com/file/d/1ULVG-t4ei1GxtJxF7b08rY6xnsDQqDNa/view?usp=sharing
Affinity Designer Vetorizando ilustrações,https://drive.google.com/file/d/1a64mZIwyCanwddxE181KQ7tgTb00pP4c/view?usp=sharing
Affinity Photo Composição e foto manipulação,https://drive.google.com/file/d/1Hnowa1bRpB9RSEStTPYxb8wEk0sYXOmv/view?usp=sharing
Affinity Photo Desenvolvendo uma peça gráfica,https://drive.google.com/file/d/1wigNk5CFRvhcN-6JlvLi5rLlZvyzTaM7/view?usp=sharing
Affinity Photo Tratamento de imagens,https://drive.google.com/file/d/1QsgDWse03BLjR-bE729JjSGL8eu63uK2/view?usp=sharing
Affinity Publisher Diagramação de conteúdo,https://drive.google.com/file/d/1mababDEEFWAR9NaXvO8iLvYr7il5bsfi/view?usp=sharing
After Effects Compondo a partir de track motion,https://drive.google.com/file/d/1E_ML2Tr9UwiBijxXFlAz4w7xU8fy5Mop/view?usp=sharing
After Effects I: Aprendendo a fazer animações 2D,https://drive.google.com/file/d/1Aa9HdOSufF5ALHIrjgFPPwNP9zoozqNw/view?usp=sharing
After Effects II: Avançando na criação de animações 2D,https://drive.google.com/file/d/1SDQttI0yi1RxtiVr-uMCOSkpVBQpmP5X/view?usp=sharing
After Effects Introdução ao After Effects,https://drive.google.com/file/d/1rcqR61oyZtvpSNkgNm_0a3FNb7M-aNuk/view?usp=sharing
After Effects: Animando Lower Third,https://drive.google.com/file/d/10-BUmV13Rh2DJqa-ZxIsom8QifWG3ccq/view?usp=sharing
After Effects: Animando Spot Comercial,https://drive.google.com/file/d/1WrKBpurVq_NX_GRPNJZlJaAgMU3HcURF/view?usp=sharing
After Effects: Animando uma Bus Mídia,https://drive.google.com/file/d/1on7Wdld5MWO88VtETLad_TvaNQoemc-3/view?usp=sharing
After Effects: Composição e Sonorização de Animação,https://drive.google.com/file/d/1IaLVtHDFI-y6fX4KA2BKnjC3sotszSCB/view?usp=sharing
After Effects: Composição e Sonorização de Animação,https://drive.google.com/file/d/1IaLVtHDFI-y6fX4KA2BKnjC3sotszSCB/view?usp=sharing
After Effects: Técnicas de composição e fluxo de trabalho,https://drive.google.com/file/d/1M2wEujL7FVO8M3Glh50T09lXg4SKc-1-/view?usp=sharing
